	dataset	img_num	Is_clinical_data_available	cohort_tissue_type	cohort_tissue_type_mapping	disease_type_column_name	disease_type_factor_levels	histology	histology_mapping	_disease_stage	disease_stage_mapping	_histological_location	histological_location_mapping	_grade	grade_mapping	_treatment	treatment_mapping	_treatment_response	treatment_response_mapping	relapse	progression	_survival	survival_mapping	_patient_status	patient_status_mapping	TNM	_antibody_status	_antibody_status_mapping	others	clinical_file_path	image_name_pattern	transform_rules	ID_column_names	patient_ID_column_name	embeddings_files_paths	Patient_level_clinical_data
0	steenbuck-islets	7558	yes	pancreas		T1D				NoDiabetes;sAAb+;mAAB+;RecentOnset; LongDuration		no		no		no		no		no	no	no				no			diabetes_duration HbA1c C_peptide ZnT8A mIAA IA2A GADA number_of_AAbs		([0-9]{4})_Islet_ROI	[['','']]	['case_id']	case_id		/raid_encrypted/immucan/IMC/immu-vis-other-ds/steenbuck_2025/clinical.csv
1	steenbuck-immune	7557	yes	pancreas		T1D				NoDiabetes;sAAb+;mAAB+;RecentOnset; LongDuration		no		no		no		no		no	no	no				no			diabetes_duration HbA1c C_peptide ZnT8A mIAA IA2A GADA number_of_AAbs		([0-9]{4})_Immune_ROI	[['','']]	['case_id']	case_id		/raid_encrypted/immucan/IMC/immu-vis-other-ds/steenbuck_2025/clinical.csv
2	immucan-p1	2301	yes	lung		many (/raid_encrypted/immucan/IMC/custom_breast/BC3/immucan_clinical_expanded_20230726)				yes								yes													(IMMUcan_Batch.*)	[['','']]	['image']	patient_id		/raid_encrypted/immucan/IMC/custom_breast/BC3/immucan_clinical_expanded_20230726
	immucan-p2																														(IMMUcan_Batch.*)	[['.tiff','']]	['image']	patient_id		
3	cords	2070	yes	lung				DX.name	"Adenocarcinoma":"Adenocarcinoma"; "Adeno squamous cell carcinoma":"Adeno squamous cell carcinoma"; "Large cell carcinoma":"Large cell carcinoma"; "Squamous cell carcinoma":"Squamous cell carcinoma"; "Large cell neuroendocrine carcinoma":"Large cell neuroendocrine carcinoma"; "nan":"unknown"; "NSCLC":"NSCLC"; "Mesotheliom":"Mesotheliom"; "Basaloides Ca":"Basaloides Ca";	Stage	1:1; 2:2; 3:3; 4:4; 5:5; 6:6; 7:7; nan:unknown;			Grade	1:1; 2:2; 3:3; nan:unknown;					yes	no	OS + Ev.0				yes					TMA_([0-9]+_[ABC]).*_ac[0]*([0-9]+)	[['_',''],['','']]	['TMA.x','acID']	Patient_Nr		/raid_encrypted/immucan/IMC/immu-vis-other-ds/cords_nsclc_2023/raw/cp_csv/clinical_data_ROI.csv
4	damond-lung	845	yes	pancreas						stage	"Non-diabetic":"Non-diabetic"; "Onset":"Onset"; "Long-duration":"Long-duration";																Aab status	"Positive":"Positive"; "Negative":"Negative";			patients/([0-9]{4})/([A-Z]{1})	[['',''],['','']]	['case','slide']	case		/raid_encrypted/immucan/IMC/immu-vis-other-ds/damond_diabetes_lung/datasets/DataDiabetisSpicyR/Data/Donors.csv
5	danenberg	794	yes	breast										Grade	1:1; 2:2; 3:3; NA:unknown;							yearsToStatus	"x":"12"	DeathBreast		no			ERBB2_pos(FALSE NA TRUE);ERStatus(pos neg NA);LymphNodesOrdinal(20-50mm 5-10mm 10-20mm 50+mm NA 1-5mm)	/raid_encrypted/immucan/IMC/immu-vis-other-ds/danenberg_breast/MBTMEIMCPublic/IMCClinical.csv'	(MB[0-9]{4})	[['MB','MB-']]	['metabric_id']	metabric_id	Dawid: /home/kacpie/multiplex-image-model/expt/hochprot_danenberg_cords-fibro_latent_embeddings_train.pt, /home/kacpie/multiplex-image-model/expt/hochprot_danenberg_cords-fibro_latent_embeddings_test.pt; Virtues: /raid_encrypted/immucan/embeddings_virtues/danenberg/train_embeddings.pt, /raid_encrypted/immucan/embeddings_virtues/danenberg/test_embeddings.pt	/raid_encrypted/immucan/IMC/immu-vis-other-ds/danenberg_breast/MBTMEIMCPublic/IMCClinical.csv
6	jackson-basel	746	yes	breast		histology;clinical_type;Subtype		histology	"invasive mucinous breast carcinoma":"Invasive mucinous breast carcinoma"; "mixed ductal lobular breast carcinoma":"Mixed ductal lobular breast carcinoma"; "invasive medullary breast carcinoma":"Invasive medullary breast carcinoma"; "invasive lobular breast carcinoma":"Invasive lobular breast carcinoma"; "invasive ductal breast carcinoma":"Invasive ductal breast carcinoma"; "invasive tubular breast carcinoma":"Invasive tubular breast carcinoma";					grade	1:1; 2:2; 3:3;	Post-surgeryTx	"Tamoxifen - Femara":"Tamoxifen"; "Letrozol":"Letrozol"; "Chemotherapy - Immune therapy":"Chemotherapy"; "Tamoxifen":"Tamoxifen"; "Exemestan":"Exemestan"; "Immune therapy - Anastrozol":"Immune therapy"; "Chemotherapy - Immune therapy - Anastrozol":"Chemotherapy"; "Chemotherapy - Anastrazol":"Chemotherapy"; "Anastrazol":"Anastrazol"; "Chemotherapy - Tamoxifen":"Chemotherapy"; "Immune therapy":"Immune therapy"; "Chemotherapy - Letrozol":"Chemotherapy"; "Chemotherapy":"Chemotherapy"; "none":"no_therapy"; "nan":"nan"; "Chemotherapy - Immune therapy - Tamoxifen":"Chemotherapy"; "Chemotherapy - Hormone therapy":"Chemotherapy"; "Hormone therapy":"Hormone therapy";	response	"Resistant":"Resistant"; "Refractory":"Refractory"; "nan":"unknown"; "Sensitive":"Sensitive";			OSmonth		Patientstatus	"alive":"0";  "death":"nan"; "death by primary disease":"1";  "alive w metastases":"0"	yes			HER2Status;ERStatus;PRStatus;Lymphaticinvasion;Venousinvasion;hormonesensitive		(BaselTMA_.*)	[['','']]	['FileName_FullStack']	PID	Dawid: /home/kacpie/multiplex-image-model/expt/jackson_latent_embeddings_train.pt, /home/kacpie/multiplex-image-model/expt/jackson_latent_embeddings_test.pt; Virtues: /raid_encrypted/immucan/embeddings_virtues/jackson/train_embeddings.pt, /raid_encrypted/immucan/embeddings_virtues/jackson/test_embeddings.pt	/raid_encrypted/immucan/IMC/immu-vis-other-ds/jackson_breast/clinical_data.csv
7	jackson-zurich	746	yes	breast		histology;clinical_type;Subtype								grade	1:1; 2:2; 3:3; METASTASIS:3;	pre/post surgery		yes				OSmonth + Patientstatus				yes			HER2Status;ERStatus;PRStatus;Lymphaticinvasion;Venousinvasion;hormonesensitive		(ZTMA208_.*)	[['','']]	['FileName_FullStack']			/raid_encrypted/immucan/IMC/immu-vis-other-ds/jackson_breast/clinical_data.csv
8	hoch-protein	167	yes	melanoma		Primary_melanoma_type				Cancer_stage		MM_location				before/after surgery		weirdly coded		yes	Time_to_progression_or_last_PET  censoring_progression	Time_to_death_or_last_PET + censoring_death				no			mutation							/raid_encrypted/immucan/IMC/immu-vis-other-ds/hoch/full_data/protein/clinical_data.csv
